"BTI_REFERENCE","ISSUING_COUNTRY","START_DATE_OF_VALIDITY","END_DATE_OF_VALIDITY","NOMENCLATURE_CODE","CLASSIFICATION_JUSTIFICATION","STATUS","INVALIDATION_REASON","INVALIDATION_JUSTIFICATION","LANGUAGE","PLACE_OF_ISSUE","DATE_OF _ISSUE","NAME_AND_ADDRESS","DESCRIPTION_OF_GOODS","KEYWORDS"
"FIBTIFI001210-2024-BTI82","FI","09/10/2024","08/10/2027","9405990090************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1, 2a, 3b ja 6.
Nimikkeen 9405 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2023/2364, julkaisupäivä 31.10.2023, Euroopan unionin virallinen lehti, L-sarja).
XV jakson huomautus 1k.
Tullikoodeksikomitean tariffi- ja tilastonimikkeistöjaoston (tekstiilit/mekaniikka/sekalaiset) 249. Kokous 9. – 11.10.2023., tapaus 7.8 Tariff classification of Aluminium profiles for LED strip lights (TAXUD/3256486/2023)","VALID","","","fi","","08/10/2024","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","LED-valaisimeen tarkoitettu kokonaisuus, joka koostuu seuraavista tavaroista:
-	Alumiiniprofiili. Ulkomitat 16 x 7 mm ja pituus 2,25 m
-	Diffuusori, pituus 2,25 m
-	Päädyt 2 kpl. Toinen pääty on umpinainen ja toinen rei’itetty
-	Metalliset kannakkeet 4 kpl. Kannakkeet ovat valmiiksi rei’itettyjä ja mukana on kannakkeisiin kuuluvat kiinnitysruuvit.

Alumiiniprofiili, diffuusori, päädyt ja kannakkeet on tarkoitettu yhteen koottaviksi. Tullille esitettäessä ne ovat kokoamattomina. Kokonaisuudessa ei ole mukana LED-valoja eikä muita sähköisiä osia. Tavarat ovat pakattu yhteen muovin sisään.","OF ALUMINIUM,OF PLASTICS,PROFILES,LIGHT PARTS,SCREWS"
"FIBTIFI001210-2025-BTI16","FI","13/02/2025","12/02/2028","39269097**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1, 3b ja 6.
Nimikkeen 3926 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2024/2522, julkaisupäivä 31.10.2024, Euroopan unionin virallinen lehti, L-sarja).
Harmonoidun järjestelmän selitykset, ryhmä 39
(https://tulli.fi/tietoa-tullista/tullin-toiminta/harmonoidun-jarjestelman-selityksia).","VALID","","","fi","","12/02/2025","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
FI-00101 Helsinki
FI","Tavara on hiilikuituprofiileista ja polyuretaanista valmistettu litteä nauha. Muovi on läpinäkyvää; hiilikuituprofiilit ovat näkyvissä muovin sisällä. Nauhan leveys on 25,4 mm ja paksuus 4,5 mm. Se toimitetaan puisilla keloilla mahdollisimman suurina pituuksina (max. 5000 m). Tavara valmistetaan käyttämällä kahta eri valmistusmenetelmää.
Nauhaa käytetään hissiköytenä. Se korvaa perinteisen teräsköyden.
Valmistajalta saadun selvityksen mukaan nauhassa on alle 50% painosta hiilikuitua ja yli 50% painosta muovia.
Hiilikuitu tekee nauhasta pituussuunnassa erittäin kestävän. Muovipinnoite sekä suojaa hiilikuituprofiileja että toimii kitkapintana.","PLASTICS,OF PLASTICS,REINFORCED,ROPE,FOR LIFTING"
"FIBTIFI001210-2025-BTI14","FI","12/02/2025","11/02/2028","7318190090************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 7318 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2024/2522, julkaisupäivä 31.10.2024, Euroopan unionin virallinen lehti, L-sarja).
XV jakson huomautus 2a.
Harmonoidun järjestelmän selitykset, nimike 7318.","VALID","","","fi","","11/02/2025","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
FI-00101 Helsinki
FI","Teräksestä valmistettu kierteellinen tavara. Tavarassa on tanko, jonka toiseen päähän on niitattu holkki. Tangon päässä on ulkokierre, jonka pituus on noin 20 mm. Holkissa on sisäkierre. 

Tavaran kokonaispituus on noin 119,5 mm. Ulkohalkaisija on holkin osalta noin 7mm ja tangon osalta noin 3,4 mm. Holkin sisäkierre ja tangon ulkokierre ovat kooltaan M4. Tavara on sähkösinkitty.","OF STEEL,THREADED,SCREWS,RIVETED,MOUNTINGS, METAL"
"FIBTIFI001210-2025-BTI20","FI","07/03/2025","06/03/2028","21069098**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 2106 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2024/2522, julkaisupäivä 31.10.2024, Euroopan unionin virallinen lehti, L-sarja).
Ryhmän 21 lisähuomautus 1.
Harmonoidun järjestelmän selitykset, nimike 2106, kohta 12
(https://tulli.fi/tutustu-tulliin/aineistot/kasikirjat).
Tullilaboratorion tutkimusseloste nro 25-00358 / 1202610.","VALID","","","fi","","06/03/2025","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
FI-00101 Helsinki
FI","Tuote on tummanpunaista ja viskoosia, mustikkamehun makuista energiajuomatiivistettä, jota nautitaan veteen laimennettuna piristävänä juomana. Tuote sisältää mm. vettä, tärkkelystä, mustikkamehua, mustaherukkamehua, guaranauutetta ja makeutusainetta.

Tuote nautitaan veteen (1,5 dl) laimennettuna ja se on pakattu yksittäisiin 20 g:n annospusseihin. Yksi kartonkinen myyntipakkaus sisältää 7 x 20 g annospussia. Energiajuomatiivisteellä on korkea kofeiinipitoisuus (67 mg/ 100 ml ohjeen mukaan valmistettua juomaa).","CAFFEINE,BILBERRIES,GUARANA,GASKETS,WITH STARCH,WATER,FOR DRINK PREPARATION,PUT-UP IN PACKINGS,PUT UP FOR RETAIL SALE"
"FIBTIFI001210-2025-BTI46","FI","12/06/2025","11/06/2028","13021970**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 1302 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2024/2522, julkaisupäivä 31.10.2024, Euroopan unionin virallinen lehti, L-sarja).
Harmonoidun järjestelmän selitykset, nimike 1302, kohta A.
(https://tulli.fi/tutustu-tulliin/aineistot/kasikirjat).","VALID","","","fi","","11/06/2025","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
FI-00101 Helsinki
FI","Tuote on koivusta saatua mahlaa, joka on tarkoitettu juotavaksi sellaisenaan. Koivunmahla on kerätty valuttamalla koivun runkoon tehtyjen reikien kautta. Tuotteeseen ei ole lisätty mitään aineita, vaan kyseessä on 100 % koivunmahla. Mahla sisältää vettä n. 99 % sekä hieman glukoosia, fruktoosia ja hiven- ja kivennäisaineita. Tuote on suodatettu ennen pullottamista ja se on pakattu 500 ml:n ja 250 ml:n vetoisiin lasipulloihin.

Tuotetta on saatavilla myös 330 ml:n tetrapakkauksissa sekä 3 kg:n, 10 kg:n, 250 kg:n ja 1000 kg:n aseptisissa pakkauksissa.","BIRCH,TREES,VEGETABLE EXTRACTS,PLANT JUICES,AS LIQUID,NON ALCOHOLIC BEVERAGES"
"FIBTIFI001210-2025-BTI67","FI","30/06/2025","29/06/2028","3920690090************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 3920 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2024/2522, julkaisupäivä 31.10.2024, Euroopan unionin virallinen lehti, L-sarja).
Ryhmän 39 huomautukset 1, 4 ja 10. Ryhmän 39 alanimikehuomautus 1.
Harmonoidun järjestelmän selitykset, nimike 3920.
(https://tulli.fi/tutustu-tulliin/aineistot/kasikirjat).
Tullilaboratorion tutkimusseloste nro 25-01168 / 1209607.","VALID","","","fi","","27/06/2025","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
FI-00101 Helsinki
FI","Kyseessä on valkoisesta biohajoavasta muovista valmistettu vainajannostolakana. Lakana on suorakaiteen muotoinen ja sovittamaton. Sen mitat ovat 150 x 240 cm. Saatujen tietojen mukaan lakanat on pakattu pahvilaatikoihin (á 50 kpl).","PLASTICS,OF PLASTICS,POLYESTERS,OF POLYESTER,TILES,AS TILES,BIODEGRADABLE,WHITE"
"FIBTIFI001210-2025-BTI71","FI","12/08/2025","11/08/2028","73043180**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 7304 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2024/2522, julkaisupäivä 31.10.2024, Euroopan unionin virallinen lehti, L-sarja).
Harmonoidun järjestelmän selitykset, ryhmä 72 yleisohjeiden kohta IV B toinen kappale ja kohta IV C 2, nimikkeen 7304 31 alanimikeselitys.
(https://tulli.fi/tutustu-tulliin/aineistot/kasikirjat).

Yhdistetyn nimikkeistön selittävät huomautukset, nimike 7304 31 20.
(https://tulli.fi/tutustu-tulliin/aineistot/kasikirjat).","VALID","","","fi","","11/08/2025","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
FI-00101 Helsinki
FI","Tavara on saumaton kuumapursotuksella ja kylmävetämällä muokattu putki. Putkessa on ulkopuolella korroosiota kestävä pintakerros. Pintakerros ja putki on valmistusprosessissa sidottu toisiinsa metallurgisesti. Pintakerros vastaa pleterointia. Putken sisäpinta on raepuhallettu ja ulkopinta raepuhallettu ja/tai peitattu.
Putken ulkohalkaisija on 63,5 mm ja seinämäpaksuus 6,53 mm. Putken pituus on 10 - 12 m. Putken ulkopinnan pinnoituksen paksuus on 1,65 mm.","CERAMIC PIPES,PLATED,COLD FORMED,NON-ALLOY STEEL,IN THE PIECE"
"FIBTIFI001210-2024-BTI86","FI","30/10/2024","29/10/2027","85371098**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1, 3c ja 6.
Nimikkeen 8537 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2023/2364, julkaisupäivä 31.10.2023, Euroopan unionin virallinen lehti, L-sarja).
XVI jakson huomautukset 3 ja 5.
Harmonoidun järjestelmän selitykset, nimike 8537.
(https://tulli.fi/tietoa-tullista/tullin-toiminta/harmonoidun-jarjestelman-selityksia).","VALID","","","fi","","29/10/2024","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Tavara on räkkiasennettavaan koteloon koottu sähkövirtapiirin ohjelmoitava suoja- ja hallintalaite.
Laitteen käyttötarkoitus on ennalta määrätyn sähkövirtapiirin hallinta ja suojaaminen. Sähkövirtapiiri voi olla jakeluverkon osa tai teollisuuden sähköverkko.
Tavara koostuu tarvittavin liittimin varustetusta kotelosta, johon on asennettu ennalta määritellyn sähkövirtapiirin suojaamiseen tarvittavat komponentit ja ohjelmistot. Laitteisto on ohjelmoitava.","ELECTRICITY CONTROL BOARDS,FOR ELECTRIC CONTROL,IN A HOUSING,FOR PROTECTION AGAINST OVER-VOLTAGE,RELAYS"
"FIBTIFI001210-2024-BTI90","FI","07/11/2024","06/11/2027","8431498090************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 8431 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2023/2364, julkaisupäivä 31.10.2023, Euroopan unionin virallinen lehti, L-sarja).
Harmonoidun järjestelmän selitykset, XVI jakson yleisohjeet 2 huomautus.

(https://tulli.fi/tietoa-tullista/tullin-toiminta/harmonoidun-jarjestelman-selityksia).","VALID","","","fi","","07/11/2024","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","ASC-nosturin (automatic stacking cranes) telit sisältäen vaakapalkit, kiskopyörät, nivelet jne. Telit ovat osa nosturin rakennetta. Maalattuja hitsaamalla valmistettuja teräsrakenteita, joissa koneistettuja akseleita ja pyöriä. Yhteen nosturiin tulee neljä kappaletta telejä. Arvioitu kokonaispaino on noin 24 840kg.","CRANES,FOR LIFTING,GANTRY CRANES,FREIGHT CONTAINERS,FOR PORTS"
"FIBTIFI001210-2025-BTI17","FI","14/02/2025","13/02/2028","8431498090************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 8431 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2024/2522, julkaisupäivä 31.10.2024, Euroopan unionin virallinen lehti, L-sarja).
XVI jakson huomautus 2.","VALID","","","fi","","14/02/2025","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
FI-00101 Helsinki
FI","Tavara on RTG-nosturin (Rubber Tyred Gantry crane) vanne. RTG-nostureita käytetään konttien siirtelyyn ja pinoamiseen. Yhdessä nosturissa on neljä teliä ja yksi teli sisältää yhteensä neljä pyörää vanteineen. Vanne on valmistettu teräksestä, koneistettu piirustuksen mukaan ja siinä on asennettuna venttiili. Vanne painaa noin 154 kg.","CRANES,FOR LIFTING,GANTRY CRANES,FREIGHT CONTAINERS,FOR PORTS"
"FIBTIFI001210-2025-BTI18","FI","14/02/2025","13/02/2028","8431498090************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 8431 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2024/2522, julkaisupäivä 31.10.2024, Euroopan unionin virallinen lehti, L-sarja).
XVI jakson huomautus 2.a).","VALID","","","fi","","14/02/2025","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
FI-00101 Helsinki
FI","STS -nosturin konehuone sisältäen lattia-, seinä ja kattorakenteet. Konehuone toimii sääsuojana nostokoneistoille ja on osa nosturia. Hitsaamalla valmistettuja maalattuja teräsrakenteita. Arvioitu kokonaispaino on noin 35000kg.","CRANES,FOR LIFTING,GANTRY CRANES,FREIGHT CONTAINERS,FOR PORTS"
"FIBTIFI001210-2025-BTI19","FI","04/03/2025","03/03/2028","21069092**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 2106 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2024/2522, julkaisupäivä 31.10.2024, Euroopan unionin virallinen lehti, L-sarja).
Ryhmän 29 huomautus 1. Ryhmän 30 huomautus 1 a.
Ryhmän 21 lisähuomautus 5. Ryhmän 30 lisähuomautus 1.
Harmonoidun järjestelmän selitykset, nimike 2106, kohta 16
(https://tulli.fi/tutustu-tulliin/aineistot/kasikirjat).
Yhdistetyn nimikkeistön selittävät huomautukset, ryhmän 30 lisähuomautuksen 1 CN-selityksen kohta 3 (https://tulli.fi/tutustu-tulliin/aineistot/kasikirjat).
Tullilaboratorion tutkimusseloste nro 25-00356 / 1202612.","VALID","","","fi","","03/03/2025","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
FI-00101 Helsinki
FI","Tuote on D3-vitamiinia ja tyrnijauhetta sisältävä tablettimuodossa oleva ravintolisävalmiste. Vähittäismyyntipakkaus sisältää 100 tablettia ja painaa 84 g. Suositeltu vuorokausiannos on 1 tabletti. Tabletti on pyöreän muotoinen ja väriltään vaalean keltaruskea.

Tuotteen pakkausmerkintöjen mukaan tuotteen ainesosia ovat mm. ksylitoli, isomaltitoli, mikrokiteinen selluloosa, D3-vitamiini ja tyrnijauhe.","FOOD SUPPLEMENTS,VITAMINS,TABLE MATS,AS TABLETS,PUT-UP IN PACKINGS,PUT UP FOR RETAIL SALE"
"FIBTIFI001210-2025-BTI35","FI","15/04/2025","14/04/2028","9405990090************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 9405 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2024/2522, julkaisupäivä 31.10.2024, Euroopan unionin virallinen lehti, L-sarja).","VALID","","","fi","","14/04/2025","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
FI-00101 Helsinki
FI","Tavara on rakennepiirroksen mukaan teräksestä valmistettu ja pinnoitettu työvalaisimen kiinnike. Siihen on porattu yhteensä kolme reikää. Päätyjen sisäpinnalla on  pystysuoria uria.
Hakemuksen mukaan tavara on työvalaisimen kiinnike valaisimen kiinnittämiseksi maatalous- tai maansiirtokoneeseen tai dumpperiin.
Tavara on hakemuksen mukaan valmistettu ruostumattomasta teräksestä. Rakennepiirroksen mukaan se on pinnoitettu jauhemaalilla.","MOUNTINGS, METAL,OF BASE METALS,PLATED,DRAWINGS"
"FIBTIFI001210-2025-BTI61","FI","24/06/2025","23/06/2028","84253100**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1, 3a) ja 6.
Nimikkeen 8425 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2024/2522, julkaisupäivä 31.10.2024, Euroopan unionin virallinen lehti, L-sarja).
Maailman tullijärjestön (WCO) luokittelusuositus 8425 31/ 1.
(https://tulli.fi/tutustu-tulliin/aineistot/kasikirjat).","VALID","","","fi","","24/06/2025","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
FI-00101 Helsinki
FI","Tavara on sähkötoiminen nostin, jota käytetään taakkojen pystysuoraan nostoon. Nostovaunun koko vaihtelee asiakastarpeiden mukaan, mutta standardisarjan vaunun maksimimitat ovat pituus 4000mm, leveys 4000mm, korkeus 1500mm. Paino max. 30000kg. Hitsaamalla kasattu vaunu on pääosin valmistettu S355 teräksestä, ja siihen on asennettu mekaanisia- ja sähköisiä komponentteja kuten vaihde, laakerit, rajakytkimet, moottori ja köysitela.","FOR LIFTING,WINCHES,WINCH TRUCKS,BRIDGE CRANES,FOR MATERIAL HANDLING"
"FIBTIFI001210-2025-BTI76","FI","26/08/2025","25/08/2028","84798997**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1, 2.a) ja 6.
Nimikkeen 8479 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2024/2522, julkaisupäivä 31.10.2024, Euroopan unionin virallinen lehti, L-sarja).
Komission täytäntöönpanoasetus (EU) N:o 759/2014.","VALID","","","fi","","26/08/2025","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
FI-00101 Helsinki
FI","Valuhiekan puhdistamiseen (regenerointiin) tarkoitettu teollisen mittakaavan laite. Laitteessa on yhdistetty hiekan siirto, hiekan puhdistaminen polttamalla (regenerointi), hiekan jäähdytys, pölyn poisto, kaasun puhdistus ja automaattinen ohjaus. Sähkövastuksilla kuumennettavan polttorummun materiaalina on tulenkestävä teräs ja sen eristemateriaalina on maa-alkalisilikaattikomposiittikuitu. Jäähdytysrummun materiaalina on teräs. Muut rakenteet mukaan lukien runkomateriaalit ovat terästä. Kaikki lähetyksen tavarat on pakattu päätöksen liitteenä olevien kuvien mukaisiin laatikoihin, haasioihin tai lavoihin. Nämä nostetaan, sidotaan ja tuetaan kontteihin merikuljetusta varten. Kaikki seitsemän konttia lähtevät yhdellä kertaa, yhtenä eränä.","FOUNDRY EQUIPMENT,MOULDS AND MOULDING BOXES,FOR MOULDING,INCINERATORS,FOR MOULDING METALS"
"FIBTIFI001210-2024-BTI85","FI","25/10/2024","24/10/2027","9018199000************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 9018 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2023/2364, julkaisupäivä 31.10.2023, Euroopan unionin virallinen lehti, L-sarja).","VALID","","","fi","","24/10/2024","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Laite on muovikuorinen verensokerimittari, jossa ei ole näyttöä eikä paikkaa verensokeriliuskalle. Se kiinnitetään biosensoriin, jonka mittarin käyttäjä kiinnittää ihoonsa (esim. olkavarteen). Mittarissa on liittimet, joiden vastakappaleet ovat anturissa (ei sisälly tähän päätökseen). Mittari liitetään pariksi älypuhelimen kanssa; älypuhelimeen ladattava sovellus näyttää mittaustulokset. Laite on ladattava; valmistajan antamien tietojen mukaan laite kestää käytössä kaksi vuotta. Laitteen mitat ovat noin 5 x 3 x 1 cm (pituus x leveys x korkeus). Se painaa noin 22 grammaa. Se myydään vähittäismyyntipakkauksessa, johon kuuluu mittarin ja käyttöohjeen lisäksi latausjohto.","ELECTRONICS,ELECTRONIC MEASURING INSTRUMENTS,ELECTRO-DIAGNOSTIC APPARATUS,ELECTRONIC,FOR HEALTH USE"
"FIBTIFI001210-2024-BTI89","FI","04/11/2024","03/11/2027","8431498090************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 8431 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2023/2364, julkaisupäivä 31.10.2023, Euroopan unionin virallinen lehti, L-sarja).
Harmonoidun järjestelmän selitykset, XVI jakson yleisohjeet 2 huomautus. 
(https://tulli.fi/tietoa-tullista/tullin-toiminta/harmonoidun-jarjestelman-selityksia).","VALID","","","fi","","04/11/2024","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","STS -nosturin vaunun vetävä pyöräkokoonpano. Vetävät pyörät ovat osa STS nosturin vaunua.
Vetävä pyöräkokoonpano on myös asennettuna STS nosturin teliin. Koneistamalla valmistettuja maalattuja teräsrakenteita, joissa koneistettu akseli ja laakeroitu kiskopyörä. Arvioitu paino on noin 763kg/kpl.","CRANES,FOR LIFTING,GANTRY CRANES,FREIGHT CONTAINERS,FOR PORTS"
"FIBTIFI001210-2025-BTI24","FI","18/03/2025","17/03/2028","73045189**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 7304 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2024/2522, julkaisupäivä 31.10.2024, Euroopan unionin virallinen lehti, L-sarja).
Ryhmän 72 huomautus 1 f.
Harmonoidun järjestelmän selitykset, ryhmän 72 yleisohjeiden kohta IV B toinen kappale ja kohta IV C 2. Nimikkeen 7304 31 alanimikeselitys. 

Yhdistetyn nimikkeistön selittävät huomautukset, nimike 7304 31 20.
(https://tulli.fi/tutustu-tulliin/aineistot/kasikirjat).","VALID","","","fi","","17/03/2025","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
FI-00101 Helsinki
FI","Tavara on saumaton kuumapursotuksella ja kylmävetämällä muokattu putki. Putkessa on ulkopuolella korroosiota kestävä pintakerros. Pintakerros ja putki on valmistusprosessissa sidottu toisiinsa metallurgisesti. Pintakerros vastaa pleterointia. Putken sisäpinta on raepuhallettu ja ulkopinta raepuhallettu ja/tai peitattu.

Putken ulkohalkaisija on 63,5 mm ja seinämäpaksuus 6,53 mm. Putken pituus on 10 – 11,5 m. Putken ulkopinnan pinnoituksen paksuus on 1,82 mm.","CERAMIC PIPES,PLATED,COLD FORMED,ALLOY STEELS,IN THE PIECE"
"FIBTIFI001210-2025-BTI34","FI","15/04/2025","14/04/2028","9405990090************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 9405 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2024/2522, julkaisupäivä 31.10.2024, Euroopan unionin virallinen lehti, L-sarja).","VALID","","","fi","","14/04/2025","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
FI-00101 Helsinki
FI","Tavara on työpiirustuksen mukaan teräslevystä valmistettu litteä kappale. Kappaleen muoto on soikio, jonka vastakkaisilla sivuilla on pienet korvakkeet. Levyn keskellä on reikä, joka on samankeskinen levyn ulkoreunan kanssa. Levyn läpimitta ulkoreunasta on 32 millimetriä ja reiän halkaisija 22 millimetriä. Levyn paksuus on piirroksen mukaan yksi millimetri. Korvakkeissa on halkaisijaltaan 4.2 millimetrin reiät.
Levyä käytetään työvalaisimen jalan asennuslevynä, jonka avulla valaisin asennetaan työkoneen tai dumpperin koriin.
Levyn materiaali on työpiirustuksen mukaan seostamaton teräs, joka on pinnoitettu sinkki/sinkki-rautaseoksella ja lakalla.","OF METAL,NON-ALLOY STEEL,CUT,SOLE PLATES,FOR FIXING,UNMOUNTED"
"FIBTIFI001210-2025-BTI64","FI","26/06/2025","25/06/2028","9102120000************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1, 3c) ja 6.
Nimikkeen 9102 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2024/2522, julkaisupäivä 31.10.2024, Euroopan unionin virallinen lehti, L-sarja).
Komission täytäntöönpanoasetus (EU) 2024/964.","VALID","","","fi","","26/06/2025","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
FI-00101 Helsinki
FI","Tavara on ranteessa pidettävä urheilukello ja siinä on värikosketusnäyttö sekä optinen sykemittari. Kello määrittää sijaintinsa satelliittipaikannusjärjestelmien avulla ja siinä on laajat karttatoiminnot. Laitteella voi mitata esim. happisaturaatiota (spO2) ja ihon lämpötilaa ja seurata esim. aktiivisuutta, harjoittelun vaikutuksia, palautumista ja unen laatua. Bluetooth mahdollistaa tiedonsiirron ja kommunikoinnin esim. matkapuhelimeen asennettujen harjoittelusovellusten kanssa. Laitteella voi vastaanottaa puhelimen ilmoituksia sekä ohjata puhelimen musiikkisoitinta, mutta puheluiden soittaminen tai viesteihin vastaaminen ei ole mahdollista.
Kartonkiseen myyntipakkaukseen kuuluvat kello, rannehihna, latauskaapeli ja käyttöohjeet.","WRIST WATCHES,HEART RHYTHM MONITORING DEVICES,HEARTBEAT SENSORS,WITH OPTOELECTRONIC DISPLAY"
